Vuosi_code,Vuosi_label,"Sähkön tuotanto ja kulutus, GWh_code","Sähkön tuotanto ja kulutus, GWh_label",Tiedot_code,Tiedot_label,value
2001,2001,09,Vesivoima (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,-9.9
2001,2001,09,Vesivoima (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,16
2001,2001,09,Vesivoima (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",18.3
2001,2001,10,Tuulivoima (Uusiutuva energialähde),arvogwh,"Määrä, GWh",70
2001,2001,10,Tuulivoima (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,-9.1
2001,2001,10,Tuulivoima (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,0.1
2001,2001,10,Tuulivoima (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",0.1
2001,2001,11,Aurinkovoima (Uusiutuva energialähde),arvogwh,"Määrä, GWh",2
2001,2001,11,Aurinkovoima (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,0
2001,2001,11,Aurinkovoima (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,0
2001,2001,11,Aurinkovoima (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",0
2001,2001,12,Mustalipeä (Uusiutuva energialähde),arvogwh,"Määrä, GWh",4765
2001,2001,12,Mustalipeä (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,-7.1
2001,2001,12,Mustalipeä (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,5.9
2001,2001,12,Mustalipeä (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",6.7
2001,2001,13,Muut puupolttoaineet (Uusiutuva energialähde),arvogwh,"Määrä, GWh",2863
2001,2001,13,Muut puupolttoaineet (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,-1.3
2001,2001,13,Muut puupolttoaineet (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,3.5
2001,2001,13,Muut puupolttoaineet (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",4
2001,2001,14,Muut uusiutuvat (Uusiutuva energialähde),arvogwh,"Määrä, GWh",174
