Vuosi,"Sähkön tuotanto ja kulutus, GWh",Tiedot,value
2003,Muut uusiutuvat (Uusiutuva energialähde),"Määrä, GWh",219
2003,Muut uusiutuvat (Uusiutuva energialähde),Vuosimuutos %,27.3
2003,Muut uusiutuvat (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.3
2003,Muut uusiutuvat (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.3
2003,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Määrä, GWh",8827
2003,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Vuosimuutos %,4
2003,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,10.4
2003,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",11
2003,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Määrä, GWh",18376
2003,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Vuosimuutos %,-4.2
2003,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,21.6
2003,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",22.9
2003,Muut energialähteet,"Määrä, GWh",361
2003,Muut energialähteet,Vuosimuutos %,39.9
2003,Muut energialähteet,Osuus kokonaiskulutuksesta %,0.4
2003,Muut energialähteet,"Osuus kokonaistuotannosta, %",0.4
2003,SÄHKÖN TUOTANTO YHTEENSÄ,"Määrä, GWh",80395
2003,SÄHKÖN TUOTANTO YHTEENSÄ,Vuosimuutos %,12.2
2003,SÄHKÖN TUOTANTO YHTEENSÄ,Osuus kokonaiskulutuksesta %,94.3
2003,SÄHKÖN TUOTANTO YHTEENSÄ,"Osuus kokonaistuotannosta, %",100
2003,Sähkön nettotuonti,"Määrä, GWh",4852
2003,Sähkön nettotuonti,Vuosimuutos %,-59.3
2003,Sähkön nettotuonti,Osuus kokonaiskulutuksesta %,5.7
2003,Sähkön nettotuonti,"Osuus kokonaistuotannosta, %",
2003,SÄHKÖN KOKONAISKULUTUS,"Määrä, GWh",85247
2003,SÄHKÖN KOKONAISKULUTUS,Vuosimuutos %,2
2003,SÄHKÖN KOKONAISKULUTUS,Osuus kokonaiskulutuksesta %,100
2003,SÄHKÖN KOKONAISKULUTUS,"Osuus kokonaistuotannosta, %",
2004,YDINVOIMA,"Määrä, GWh",21814
2004,YDINVOIMA,Vuosimuutos %,-0.1
2004,YDINVOIMA,Osuus kokonaiskulutuksesta %,25.1
2004,YDINVOIMA,"Osuus kokonaistuotannosta, %",26.5
2004,Öljy (Fossiilinen polttoaine),"Määrä, GWh",568
2004,Öljy (Fossiilinen polttoaine),Vuosimuutos %,-37.6
2004,Öljy (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.7
2004,Öljy (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",0.7
2004,Kivihiili (Fossiilinen polttoaine),"Määrä, GWh",15411
2004,Kivihiili (Fossiilinen polttoaine),Vuosimuutos %,-14
2004,Kivihiili (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,17.7
2004,Kivihiili (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",18.8
2004,Maakaasu (Fossiilinen polttoaine),"Määrä, GWh",12371
2004,Maakaasu (Fossiilinen polttoaine),Vuosimuutos %,-7.9
2004,Maakaasu (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,14.2
2004,Maakaasu (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",15.1
2004,Muut fossiiliset (Fossiilinen polttoaine),"Määrä, GWh",698
2004,Muut fossiiliset (Fossiilinen polttoaine),Vuosimuutos %,-4.1
2004,Muut fossiiliset (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.8
2004,Muut fossiiliset (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",0.8
2004,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Määrä, GWh",29048
2004,FOSSIILISET POLTTOAINEET YHTEENSÄ,Vuosimuutos %,-12
2004,FOSSIILISET POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,33.4
2004,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",35.3
2004,Turve,"Määrä, GWh",6120
